Iteration 1 : 71.1428571429 % Training, 70.375 % Testing
Iteration 2 : 71.1428571429 % Training, 70.375 % Testing
Iteration 3 : 71.1428571429 % Training, 70.375 % Testing
Iteration 4 : 71.1428571429 % Training, 70.375 % Testing
Iteration 5 : 71.1428571429 % Training, 70.375 % Testing
Iteration 6 : 71.1428571429 % Training, 70.375 % Testing
Iteration 7 : 71.1428571429 % Training, 70.375 % Testing
Iteration 8 : 71.1428571429 % Training, 70.375 % Testing
Iteration 9 : 71.1428571429 % Training, 70.375 % Testing
Iteration 10 : 71.1428571429 % Training, 70.375 % Testing
Iteration 11 : 71.1428571429 % Training, 70.375 % Testing
Iteration 12 : 71.1428571429 % Training, 70.375 % Testing
Iteration 13 : 71.1428571429 % Training, 70.375 % Testing
Iteration 14 : 71.1428571429 % Training, 70.375 % Testing
Iteration 15 : 71.1428571429 % Training, 70.375 % Testing
Iteration 16 : 71.1428571429 % Training, 70.375 % Testing
Iteration 17 : 71.1428571429 % Training, 70.375 % Testing
Iteration 18 : 71.1428571429 % Training, 70.375 % Testing
Iteration 19 : 71.1428571429 % Training, 70.375 % Testing
Iteration 20 : 71.1428571429 % Training, 70.375 % Testing
Iteration 21 : 71.1428571429 % Training, 70.375 % Testing
Iteration 22 : 71.1428571429 % Training, 70.375 % Testing
Iteration 23 : 71.1428571429 % Training, 70.375 % Testing
Iteration 24 : 71.1428571429 % Training, 70.375 % Testing
Iteration 25 : 71.1428571429 % Training, 70.375 % Testing
Iteration 26 : 71.1428571429 % Training, 70.375 % Testing
Iteration 27 : 71.1428571429 % Training, 70.375 % Testing
Iteration 28 : 71.1428571429 % Training, 70.375 % Testing
Iteration 29 : 71.1428571429 % Training, 70.375 % Testing
Iteration 30 : 71.1428571429 % Training, 70.375 % Testing
Iteration 31 : 71.1428571429 % Training, 70.375 % Testing
Iteration 32 : 71.1428571429 % Training, 70.375 % Testing
Iteration 33 : 71.1428571429 % Training, 70.375 % Testing
Iteration 34 : 71.1428571429 % Training, 70.375 % Testing
Iteration 35 : 71.1428571429 % Training, 70.375 % Testing
Iteration 36 : 71.1428571429 % Training, 70.375 % Testing
Iteration 37 : 71.1428571429 % Training, 70.375 % Testing
Iteration 38 : 71.1428571429 % Training, 70.375 % Testing
Iteration 39 : 71.1428571429 % Training, 70.375 % Testing
Iteration 40 : 71.1428571429 % Training, 70.375 % Testing
Iteration 41 : 71.1428571429 % Training, 70.375 % Testing
Iteration 42 : 71.1428571429 % Training, 70.375 % Testing
Iteration 43 : 71.1428571429 % Training, 70.375 % Testing
Iteration 44 : 71.1428571429 % Training, 70.375 % Testing
Iteration 45 : 71.1428571429 % Training, 70.375 % Testing
Iteration 46 : 71.1428571429 % Training, 70.375 % Testing
Iteration 47 : 71.1428571429 % Training, 70.375 % Testing
Iteration 48 : 71.1428571429 % Training, 70.375 % Testing
Iteration 49 : 71.1428571429 % Training, 70.375 % Testing
Iteration 50 : 71.1428571429 % Training, 70.375 % Testing
Iteration 51 : 71.1428571429 % Training, 70.375 % Testing
Iteration 52 : 71.1428571429 % Training, 70.375 % Testing
Iteration 53 : 71.1428571429 % Training, 70.375 % Testing
Iteration 54 : 71.1428571429 % Training, 70.375 % Testing
Iteration 55 : 71.1428571429 % Training, 70.375 % Testing
Iteration 56 : 71.1428571429 % Training, 70.375 % Testing
Iteration 57 : 71.1428571429 % Training, 70.375 % Testing
Iteration 58 : 71.1428571429 % Training, 70.375 % Testing
Iteration 59 : 71.1428571429 % Training, 70.375 % Testing
Iteration 60 : 71.1428571429 % Training, 70.375 % Testing
Iteration 61 : 71.1428571429 % Training, 70.375 % Testing
Iteration 62 : 71.1428571429 % Training, 70.375 % Testing
Iteration 63 : 71.1428571429 % Training, 70.375 % Testing
Iteration 64 : 71.1428571429 % Training, 70.375 % Testing
Iteration 65 : 71.1428571429 % Training, 70.375 % Testing
Iteration 66 : 71.1428571429 % Training, 70.375 % Testing
Iteration 67 : 71.1428571429 % Training, 70.375 % Testing
Iteration 68 : 71.1428571429 % Training, 70.375 % Testing
Iteration 69 : 71.1428571429 % Training, 70.375 % Testing
Iteration 70 : 71.1428571429 % Training, 70.375 % Testing
Iteration 71 : 71.1428571429 % Training, 70.375 % Testing
